queue_order,person_id,province,excel_row,identity_resolution,candidate_names,current_organization,current_title,current_verification_status,evidence_grade,evidence_url,unresolved_reason
1,FC2515-P11-R0123,浙江,123,FRAGMENT_HEAD,陈频,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
2,FC2515-P11-R0124,浙江,124,FRAGMENT_TAIL,陈频,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
3,FC2515-P11-R0125,浙江,125,FRAGMENT_HEAD,陈滨,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
4,FC2515-P11-R0126,浙江,126,FRAGMENT_TAIL,陈滨,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
5,FC2515-P11-R0176,浙江,176,FRAGMENT_HEAD,殷英,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
6,FC2515-P11-R0177,浙江,177,FRAGMENT_TAIL,殷英,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
7,FC2515-P11-R0214,浙江,214,SHIFT_FRAGMENT,丰华,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
8,FC2515-P11-R0216,浙江,216,SHIFT_FRAGMENT,王雨,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
9,FC2515-P11-R0219,浙江,219,FRAGMENT_HEAD,王勤,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
10,FC2515-P11-R0220,浙江,220,FRAGMENT_TAIL,王勤,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
