kind,ordinal,path,queue_start,queue_end,row_count,storage_role,projection,base_or_parent_gate
ledger,0,projects/fc-exec-2515/evidence/W3_EVIDENCE_LEDGER.csv,1,1620,1620,sealed_base,native,W3-BATCH-0027
overlay,0,projects/fc-exec-2515/evidence/W3_VERIFICATION_OVERLAY.csv,1,1620,1620,sealed_base,native,W3-BATCH-0027
ledger,1,projects/fc-exec-2515/evidence/W3_BATCH_0028_RESULTS.csv.gz,1621,1680,60,result_segment,ledger,W3-BATCH-0028
overlay,1,projects/fc-exec-2515/evidence/W3_BATCH_0028_RESULTS.csv.gz,1621,1680,60,result_segment,overlay,W3-BATCH-0028
ledger,2,projects/fc-exec-2515/evidence/W3_BATCH_0029_RESULTS.csv.gz,1681,1740,60,result_segment,ledger,W3-BATCH-0029
overlay,2,projects/fc-exec-2515/evidence/W3_BATCH_0029_RESULTS.csv.gz,1681,1740,60,result_segment,overlay,W3-BATCH-0029
ledger,3,projects/fc-exec-2515/evidence/W3_BATCH_0030_RESULTS.csv.gz,1741,1800,60,result_segment,ledger,W3-BATCH-0030
overlay,3,projects/fc-exec-2515/evidence/W3_BATCH_0030_RESULTS.csv.gz,1741,1800,60,result_segment,overlay,W3-BATCH-0030
ledger,4,projects/fc-exec-2515/evidence/W3_BATCH_0031_RESULTS.csv.gz,1801,1860,60,result_segment,ledger,W3-BATCH-0031
overlay,4,projects/fc-exec-2515/evidence/W3_BATCH_0031_RESULTS.csv.gz,1801,1860,60,result_segment,overlay,W3-BATCH-0031
ledger,5,projects/fc-exec-2515/evidence/W3_BATCH_0032_RESULTS.csv.gz,1861,1920,60,result_segment,ledger,W3-BATCH-0032
overlay,5,projects/fc-exec-2515/evidence/W3_BATCH_0032_RESULTS.csv.gz,1861,1920,60,result_segment,overlay,W3-BATCH-0032
ledger,6,projects/fc-exec-2515/evidence/W3_BATCH_0033_RESULTS.csv.gz,1921,1980,60,result_segment,ledger,W3-BATCH-0033
overlay,6,projects/fc-exec-2515/evidence/W3_BATCH_0033_RESULTS.csv.gz,1921,1980,60,result_segment,overlay,W3-BATCH-0033
ledger,7,projects/fc-exec-2515/evidence/W3_BATCH_0034_RESULTS.csv.gz,1981,2040,60,result_segment,ledger,W3-BATCH-0034
overlay,7,projects/fc-exec-2515/evidence/W3_BATCH_0034_RESULTS.csv.gz,1981,2040,60,result_segment,overlay,W3-BATCH-0034
ledger,8,projects/fc-exec-2515/evidence/W3_BATCH_0035_RESULTS.csv.gz,2041,2100,60,result_segment,ledger,W3-BATCH-0035
overlay,8,projects/fc-exec-2515/evidence/W3_BATCH_0035_RESULTS.csv.gz,2041,2100,60,result_segment,overlay,W3-BATCH-0035
